Date/Time,Rel Hum (%),Dew Point Temp (C),Stn Press (kPa),Wind Spd (km/h),Temp (C),Visibility (km)
2012-04-01 00:00,87.0,2.3,99.88,28.0,4.3,12.9
2012-04-01 01:00,86.0,2.2,99.94,17.0,4.4,8.0
2012-04-01 02:00,86.0,1.6,100.0,26.0,3.8,6.4
2012-04-01 03:00,86.0,0.7,100.1,39.0,2.8,8.0
2012-04-01 04:00,87.0,0.4,100.23,30.0,2.4,9.7
2012-04-01 05:00,86.0,0.9,100.37,35.0,3.0,9.7
2012-04-01 06:00,87.0,1.7,100.55,30.0,3.7,12.9
2012-04-01 07:00,79.0,1.3,100.74,24.0,4.7,16.1
2012-04-01 08:00,75.0,1.3,100.94,20.0,5.3,24.1
2012-04-01 09:00,75.0,1.9,101.07,13.0,5.9,24.1
2012-04-01 10:00,68.0,1.5,101.15,7.0,7.0,32.2
2012-04-01 11:00,61.0,0.7,101.28,6.0,7.8,32.2
2012-04-01 12:00,61.0,1.9,101.35,4.0,9.1,32.2
2012-04-01 13:00,53.0,0.3,101.41,9.0,9.5,32.2
2012-04-01 14:00,46.0,-1.3,101.48,4.0,9.8,32.2
2012-04-01 15:00,49.0,0.2,101.56,7.0,10.5,32.2
2012-04-01 16:00,60.0,2.1,101.59,19.0,9.5,32.2
2012-04-01 17:00,65.0,2.4,101.69,26.0,8.7,32.2
2012-04-01 18:00,59.0,0.9,101.77,15.0,8.5,32.2
2012-04-01 19:00,62.0,1.6,101.82,13.0,8.4,32.2
2012-04-01 20:00,69.0,2.5,101.91,11.0,7.9,32.2
2012-04-01 21:00,76.0,3.2,101.98,13.0,7.2,32.2
2012-04-01 22:00,78.0,3.1,102.01,19.0,6.6,32.2
2012-04-01 23:00,79.0,3.5,102.08,13.0,6.8,32.2
2012-04-02 00:00,74.0,2.9,102.11,22.0,7.2,32.2
2012-04-02 01:00,74.0,2.8,102.11,22.0,7.1,32.2
2012-04-02 02:00,75.0,3.2,102.12,17.0,7.3,32.2
2012-04-02 03:00,74.0,3.0,102.13,20.0,7.4,32.2
2012-04-02 04:00,72.0,2.7,102.16,28.0,7.5,32.2
2012-04-02 05:00,72.0,2.6,102.15,24.0,7.4,32.2
2012-04-02 06:00,68.0,2.2,102.14,28.0,7.7,24.1
2012-04-02 07:00,69.0,1.9,102.15,22.0,7.3,24.1
2012-04-02 08:00,64.0,2.0,102.12,28.0,8.3,24.1
2012-04-02 09:00,60.0,1.6,102.1,33.0,8.9,24.1
2012-04-02 10:00,59.0,1.8,101.99,41.0,9.4,24.1
2012-04-02 11:00,61.0,2.7,102.0,22.0,9.8,24.1
2012-04-02 12:00,56.0,2.8,101.91,19.0,11.3,24.1
2012-04-02 13:00,51.0,3.0,101.8,24.0,12.9,24.1
2012-04-02 14:00,51.0,2.6,101.71,22.0,12.4,24.1
2012-04-02 15:00,50.0,3.1,101.61,24.0,13.3,24.1
2012-04-02 16:00,50.0,2.1,101.45,26.0,12.3,24.1
2012-04-02 17:00,49.0,1.9,101.35,28.0,12.2,24.1
2012-04-02 18:00,55.0,2.7,101.23,20.0,11.3,24.1
2012-04-02 19:00,57.0,2.7,101.17,20.0,11.0,24.1
2012-04-02 20:00,56.0,2.8,101.13,19.0,11.3,24.1
2012-04-02 21:00,66.0,4.2,101.12,20.0,10.3,24.1
2012-04-02 22:00,71.0,4.8,101.1,17.0,9.8,24.1
2012-04-02 23:00,71.0,4.6,101.04,19.0,9.6,24.1
2012-04-03 00:00,67.0,4.2,100.92,17.0,10.0,24.1
2012-04-03 01:00,72.0,4.8,100.85,11.0,9.5,24.1
2012-04-03 02:00,75.0,4.6,100.77,11.0,8.8,24.1
2012-04-03 03:00,67.0,3.6,100.66,19.0,9.4,24.1
2012-04-03 04:00,67.0,3.4,100.59,13.0,9.3,24.1
2012-04-03 05:00,69.0,3.6,100.54,17.0,8.9,24.1
2012-04-03 06:00,61.0,2.8,100.53,11.0,10.0,24.1
2012-04-03 07:00,72.0,4.0,100.53,17.0,8.7,16.1
2012-04-03 08:00,85.0,3.9,100.58,35.0,6.3,12.9
2012-04-03 09:00,83.0,3.0,100.72,32.0,5.6,12.9
2012-04-03 10:00,85.0,3.6,100.83,15.0,6.0,12.9
2012-04-03 11:00,85.0,3.5,100.92,6.0,5.8,16.1
2012-04-03 12:00,80.0,2.7,101.04,6.0,5.9,16.1
2012-04-03 13:00,76.0,2.7,101.13,0.0,6.6,24.1
2012-04-03 14:00,77.0,3.4,101.22,11.0,7.1,24.1
2012-04-03 15:00,72.0,4.3,101.24,13.0,9.0,24.1
2012-04-03 16:00,73.0,3.2,101.27,19.0,7.8,24.1
2012-04-03 17:00,78.0,3.6,101.33,26.0,7.1,24.1
2012-04-03 18:00,83.0,4.0,101.33,22.0,6.7,24.1
2012-04-03 19:00,75.0,2.4,101.37,17.0,6.6,24.1
2012-04-03 20:00,77.0,2.1,101.45,19.0,5.9,24.1
2012-04-03 21:00,81.0,0.9,101.51,9.0,3.8,24.1
2012-04-03 22:00,83.0,0.4,101.52,17.0,3.0,24.1
2012-04-03 23:00,84.0,1.9,101.54,11.0,4.4,24.1
2012-04-04 00:00,85.0,1.6,101.53,11.0,3.9,24.1
2012-04-04 01:00,84.0,1.3,101.52,7.0,3.7,24.1
2012-04-04 02:00,85.0,-0.4,101.49,11.0,1.8,24.1
2012-04-04 03:00,85.0,-0.2,101.52,11.0,2.1,24.1
2012-04-04 04:00,85.0,-0.1,101.51,9.0,2.1,24.1
2012-04-04 05:00,88.0,0.4,101.53,6.0,2.1,24.1
2012-04-04 06:00,89.0,1.6,101.56,4.0,3.3,24.1
2012-04-04 07:00,86.0,2.2,101.55,9.0,4.3,32.2
2012-04-04 08:00,77.0,2.1,101.59,4.0,5.9,32.2
2012-04-04 09:00,77.0,2.4,101.58,15.0,6.2,32.2
2012-04-04 10:00,72.0,2.7,101.62,13.0,7.4,32.2
2012-04-04 11:00,74.0,2.9,101.64,15.0,7.3,32.2
2012-04-04 12:00,74.0,3.5,101.66,19.0,7.9,32.2
2012-04-04 13:00,75.0,3.6,101.69,11.0,7.8,32.2
2012-04-04 14:00,67.0,2.7,101.7,9.0,8.4,32.2
2012-04-04 15:00,71.0,2.8,101.69,15.0,7.8,32.2
2012-04-04 16:00,65.0,1.8,101.71,11.0,7.9,32.2
2012-04-04 17:00,65.0,1.4,101.75,9.0,7.6,32.2
2012-04-04 18:00,68.0,1.9,101.77,7.0,7.4,32.2
2012-04-04 19:00,77.0,2.5,101.8,7.0,6.3,32.2
2012-04-04 20:00,74.0,2.5,101.85,7.0,6.8,32.2
2012-04-04 21:00,78.0,2.0,101.85,6.0,5.6,32.2
2012-04-04 22:00,80.0,2.5,101.85,4.0,5.6,32.2
2012-04-04 23:00,77.0,0.3,101.88,7.0,3.9,32.2
